Paarkuer U18;P1;112;5.000;5.000;4.000;P2;112;4.300;3.500;4.000;P3;112;3.500;4.500;2.500;P4;112;5.000;5.000;5.000;P5;112;4.000;3.000;3.500
Paarkuer U18;P1;114;2.000;3.000;2.000;P2;114;1.200;1.000;1.200;P3;114;1.500;3.000;2.000;P4;114;2.000;2.000;2.000;P5;114;2.000;2.000;1.500
Paarkuer U18;P1;115;6.000;5.000;5.000;P2;115;5.000;5.000;4.500;P3;115;5.500;6.000;6.000;P4;115;6.000;6.000;6.000;P5;115;5.000;5.000;3.000
Paarkuer U18;P1;116;9.000;8.000;8.000;P2;116;6.000;6.500;6.800;P3;116;7.500;7.500;7.000;P4;116;8.000;8.000;8.000;P5;116;7.000;7.000;7.000
Paarkuer U19;P1;118;5.000;5.000;4.800;P2;118;2.500;3.000;2.300;P3;118;3.000;3.000;3.000;P4;118;4.000;4.000;5.000;P5;118;3.500;3.500;3.500
Paarkuer U19;P1;119;6.000;5.000;6.000;P2;119;4.000;3.000;4.500;P3;119;3.000;2.000;3.000;P4;119;4.500;5.000;6.000;P5;119;4.200;3.500;3.500
Paarkuer U19;P1;120;7.000;6.500;7.000;P2;120;4.000;3.300;3.500;P3;120;4.500;6.000;6.000;P4;120;7.000;6.500;7.000;P5;120;6.000;4.500;4.500
Paarkuer U19;P1;122;8.500;7.000;8.500;P2;122;3.000;3.000;3.500;P3;122;4.000;4.500;5.000;P4;122;6.500;6.500;6.500;P5;122;4.200;3.500;4.000
Paarkuer 19+;P1;124;7.500;7.000;7.500;P2;124;4.000;5.000;6.000;P3;124;7.500;6.500;7.500;P4;124;6.500;6.000;6.500;P5;124;7.000;6.000;7.000
Paarkuer 19+;P1;125;7.500;6.500;7.000;P2;125;4.300;5.800;4.800;P3;125;6.500;5.500;7.500;P4;125;6.000;6.500;7.500;P5;125;5.500;4.000;4.500
Paarkuer 19+;P1;126;8.000;7.000;8.000;P2;126;6.000;6.000;6.300;P3;126;9.000;9.500;9.000;P4;126;7.500;7.500;8.000;P5;126;6.500;5.500;5.500
Paarkuer 19+;P1;128;5.500;5.000;5.000;P2;128;4.000;5.000;4.400;P3;128;7.000;6.500;6.000;P4;128;5.000;5.000;4.500;P5;128;5.000;5.000;6.000
Paarkuer 19+;P1;130;4.000;4.500;3.000;P2;130;3.300;5.100;3.800;P3;130;4.500;4.500;4.500;P4;130;4.000;4.000;4.500;P5;130;4.000;3.000;3.000
Paarkuer 19+;P1;131;5.000;5.000;4.000;P2;131;4.000;4.800;4.000;P3;131;6.000;5.500;7.000;P4;131;5.500;5.500;5.000;P5;131;4.500;4.000;4.000
Paarkuer 19+;P1;132;3.000;3.000;2.000;P2;132;2.000;3.000;2.500;P3;132;3.000;3.000;4.000;P4;132;3.000;3.500;2.500;P5;132;1.500;2.500;2.500
Junior Expert Paarkuer;P1;133;6.000;6.000;4.500;P2;133;5.000;6.500;6.500;P3;133;6.000;5.000;6.000;P4;133;4.000;4.000;5.000;P5;133;4.500;5.500;6.500
Junior Expert Paarkuer;P1;134;4.000;4.000;2.000;P2;134;2.500;2.000;2.000;P3;134;3.000;3.000;3.000;P4;134;3.000;3.500;4.000;P5;134;3.000;4.000;3.500
Junior Expert Paarkuer;P1;135;5.500;5.000;2.000;P2;135;3.000;3.000;1.800;P3;135;2.000;4.000;3.500;P4;135;5.000;5.000;5.000;P5;135;6.000;6.000;7.500
